Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=Description~String~Description~100|Field=Part Number~String~Part Number~100|Field=Footprint~String~Footprint~100|Field=Manufacturer~String~Manufacturer~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB LED_MonitorFluorecente.PrjPcb|ReportField=ProjectFullPath~C:\Users\lais.souza\Desktop\PROJETOS\Placa leds\PCB LED_MonitorFluorecente\PCB LED_MonitorFluorecente.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB LED_MonitorFluorecente.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~16|ReportField=ReportTime~15:06:11|ReportField=ReportDate~01/03/2018|ReportField=ReportDateTime~01/03/2018 15:06:11|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~01/03/2018|ReportField=CurrentTime~14:58:51|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\lais.souza\Desktop\PROJETOS\Placa leds\PCB LED_MonitorFluorecente\PCB LED_MonitorFluorecente.SchDoc|ReportField=DocumentName~PCB LED_MonitorFluorecente.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~27/02/2018|ReportField=Organization~|ReportField=ProjectName~PCB LED_MonitorFluorecente.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB LED_MonitorFluorecente.PrjPcb|ReportField=DataSourceFullPath~C:\Users\lais.souza\Desktop\PROJETOS\Placa leds\PCB LED_MonitorFluorecente\PCB LED_MonitorFluorecente.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|B1, B2|Single SMD Pad|SMD_PAD_4X3MM|R400X300||2
2|C1|Non-polarised capacitor|CC0805_100NF_50V_10%_X7R|CAPC2012X135N|GENERIC|1
3|LD1, LD2, LD3, LD4, LD5, LD6, LD7, LD8, LD9, LD10, LD11, LD12|LED White 1C 2A|GW JTLPS1.EM-KKKM-XX55-1-150-R33|LED_OSRAM_GW_JTLPS1.EM|OSRAM|12
4|R1|Resistor - 1%|R1206_10R_1%_0.25W_200PPM|RESC3216X65N|GENERIC|1
